file_path,emotion,intensity,gender,actor_id,augmentation,audio,sr
./Actor_01\03-01-01-01-01-01-01.wav,neutral,normal,male,1,original,,
,neutral,normal,male,1,pitch,"[ 3.1423087e-07 -3.1979329e-07  3.2605470e-07 ...  5.8711822e-07
  1.2229287e-07  3.0943262e-08]",22050.0
,neutral,normal,male,1,stretch,"[ 6.7199970e-08 -2.8142479e-08  1.5973922e-09 ... -7.5615617e-07
  2.2064476e-07  2.7944422e-08]",22050.0
,neutral,normal,male,1,noise,"[ 8.59542639e-05  5.43692015e-04  1.70691719e-04 ... -8.17667855e-05
 -4.94012259e-03 -8.35833006e-04]",22050.0
./Actor_01\03-01-01-01-01-02-01.wav,neutral,normal,male,1,original,,
,neutral,normal,male,1,pitch,"[-3.0112578e-06 -1.2266988e-05  2.5599684e-06 ...  1.7645370e-06
  1.8248027e-06 -1.8466011e-06]",22050.0
,neutral,normal,male,1,stretch,"[-2.6924797e-06 -1.2390604e-05 -9.6011775e-07 ... -9.4338139e-07
 -2.1413277e-06  1.8961444e-07]",22050.0
,neutral,normal,male,1,noise,"[ 0.00289025 -0.00094161 -0.00454293 ... -0.00145877 -0.00064691
 -0.00287886]",22050.0
./Actor_01\03-01-01-01-02-01-01.wav,neutral,normal,male,1,original,,
,neutral,normal,male,1,pitch,"[1.7815477e-05 1.9256464e-05 3.7106947e-05 ... 4.7241238e-06 6.6601947e-06
 9.8430028e-06]",22050.0
,neutral,normal,male,1,stretch,"[ 2.0933494e-05  1.6640595e-05  3.5202342e-05 ...  5.6667823e-06
  8.2329427e-07 -7.0300298e-06]",22050.0
,neutral,normal,male,1,noise,"[ 0.00383038 -0.00141335  0.00363919 ...  0.00047862  0.00506371
  0.00382822]",22050.0
./Actor_01\03-01-01-01-02-02-01.wav,neutral,normal,male,1,original,,
,neutral,normal,male,1,pitch,"[ 2.0674990e-05  3.0918927e-05 -2.3611392e-06 ...  3.7116272e-06
  3.4245300e-06  2.4776618e-06]",22050.0
,neutral,normal,male,1,stretch,"[ 2.2943164e-05  3.1336949e-05  4.8277798e-06 ...  1.9146278e-06
  1.0845342e-06 -1.3109004e-06]",22050.0
,neutral,normal,male,1,noise,"[ 0.0012601   0.00023341  0.00784219 ...  0.0024322   0.00588597
 -0.00571582]",22050.0
./Actor_01\03-01-02-01-01-01-01.wav,calm,normal,male,1,original,,
,calm,normal,male,1,pitch,"[ 1.0595664e-05  5.6954434e-07 -6.1544921e-07 ... -5.9222509e-07
  3.2480358e-07  3.7937195e-07]",22050.0
,calm,normal,male,1,stretch,"[ 1.2764390e-05  5.1759412e-07 -6.0035262e-07 ...  1.2156042e-06
  1.9301315e-06  5.1418679e-06]",22050.0
,calm,normal,male,1,noise,"[-0.00211459 -0.00129918 -0.00196833 ... -0.00619171  0.00197066
  0.0034178 ]",22050.0
./Actor_01\03-01-02-01-01-02-01.wav,calm,normal,male,1,original,,
,calm,normal,male,1,pitch,"[-3.1298648e-09 -1.2388845e-08  1.8651541e-08 ...  3.0950109e-06
  7.5563867e-06  2.5298652e-06]",22050.0
,calm,normal,male,1,stretch,"[-5.2853522e-09 -9.2083656e-09  7.9940312e-09 ...  4.2232095e-06
 -1.4664039e-06  9.0626901e-07]",22050.0
,calm,normal,male,1,noise,"[6.69879219e-03 9.63097285e-05 5.95001379e-03 ... 2.64642232e-03
 2.72803782e-03 4.24477753e-03]",22050.0
./Actor_01\03-01-02-01-02-01-01.wav,calm,normal,male,1,original,,
,calm,normal,male,1,pitch,"[ 3.1078680e-09 -1.0158541e-10  4.5483972e-10 ...  9.8253861e-07
 -8.9120384e-08  3.5580311e-07]",22050.0
,calm,normal,male,1,stretch,"[ 4.4869211e-09 -1.5707128e-09  1.7678241e-09 ... -8.9323936e-07
 -5.3273271e-07  3.7145433e-08]",22050.0
,calm,normal,male,1,noise,"[ 0.00434687 -0.00044061  0.00130853 ...  0.00481171  0.00497917
 -0.00956674]",22050.0
./Actor_01\03-01-02-01-02-02-01.wav,calm,normal,male,1,original,,
,calm,normal,male,1,pitch,"[ 1.6178466e-06  1.5524340e-05  2.7114109e-05 ...  1.5277006e-07
 -2.2244069e-07 -2.6999913e-07]",22050.0
,calm,normal,male,1,stretch,"[ 1.7659065e-06  1.2682489e-05  2.8337687e-05 ... -1.0126164e-06
 -9.5052837e-07  3.3749598e-07]",22050.0
,calm,normal,male,1,noise,"[-0.00313552 -0.00781909  0.00158169 ...  0.00441954  0.00228315
  0.01232366]",22050.0
./Actor_01\03-01-02-02-01-01-01.wav,calm,strong,male,1,original,,
,calm,strong,male,1,pitch,"[-3.3319384e-06 -1.1351371e-05 -1.0860191e-05 ... -2.3347775e-06
  3.1854238e-06  2.7658634e-06]",22050.0
,calm,strong,male,1,stretch,"[-1.4799465e-07 -1.5270551e-05 -5.1939528e-06 ...  4.3668550e-07
 -1.1462619e-06  4.4035669e-06]",22050.0
,calm,strong,male,1,noise,"[ 0.00211909 -0.00206493  0.00469805 ...  0.00523743  0.00064486
 -0.00386515]",22050.0
./Actor_01\03-01-02-02-01-02-01.wav,calm,strong,male,1,original,,
,calm,strong,male,1,pitch,"[-5.7124643e-09 -8.1414075e-09  1.1729987e-08 ...  1.0203468e-06
  3.4365655e-07  2.3359370e-08]",22050.0
,calm,strong,male,1,stretch,"[-9.5200789e-09 -2.7333182e-09 -5.4620802e-10 ... -4.2036237e-07
 -4.1117343e-07  6.2737126e-07]",22050.0
,calm,strong,male,1,noise,"[-0.00332457 -0.00443085 -0.00845701 ...  0.00474221 -0.0015324
  0.00779093]",22050.0
./Actor_01\03-01-02-02-02-01-01.wav,calm,strong,male,1,original,,
,calm,strong,male,1,pitch,"[2.2614826e-05 2.7180826e-05 6.7823048e-06 ... 1.4437302e-05 5.9007471e-06
 6.7377141e-06]",22050.0
